"STATION","NAME","DATE","FZF0","PRCP","TAVG"
"USC00325710","MC CLUSKY, ND US","1917",,,
"USC00325710","MC CLUSKY, ND US","1919",,"13.26",
"USC00325710","MC CLUSKY, ND US","1920",,"14.22",
"USC00325710","MC CLUSKY, ND US","1921",,"20.16",
"USC00325710","MC CLUSKY, ND US","1923","29",,"40.9"
"USC00325710","MC CLUSKY, ND US","1924","32",,"37.8"
"USC00325710","MC CLUSKY, ND US","1925","32",,"38.2"
"USC00325710","MC CLUSKY, ND US","1926","31",,"38.9"
"USC00325710","MC CLUSKY, ND US","1927","27",,"36.8"
"USC00325710","MC CLUSKY, ND US","1928","30",,"39.9"
"USC00325710","MC CLUSKY, ND US","1929","30",,"36.4"
"USC00325710","MC CLUSKY, ND US","1930",,,
"USC00325710","MC CLUSKY, ND US","1931","32",,"44.5"
"USC00325710","MC CLUSKY, ND US","1932","32",,"39.8"
"USC00325710","MC CLUSKY, ND US","1933","32","15.63","40.5"
"USC00325710","MC CLUSKY, ND US","1934","31","10.31","42.7"
"USC00325710","MC CLUSKY, ND US","1935","32","21.88","39.3"
"USC00325710","MC CLUSKY, ND US","1936","30","8.81","38.1"
"USC00325710","MC CLUSKY, ND US","1937","32","19.56","38.4"
"USC00325710","MC CLUSKY, ND US","1938","31","15.62","41.7"
"USC00325710","MC CLUSKY, ND US","1939","29",,"41.6"
"USC00325710","MC CLUSKY, ND US","1940","27",,"41.3"
"USC00325710","MC CLUSKY, ND US","1941","32",,"42.5"
"USC00325710","MC CLUSKY, ND US","1942","30","18.05","41.4"
"USC00325710","MC CLUSKY, ND US","1943","29","16.77","40.6"
"USC00325710","MC CLUSKY, ND US","1944","32",,"41.5"
"USC00325710","MC CLUSKY, ND US","1945","29",,"39.6"
"USC00325710","MC CLUSKY, ND US","1946","32",,
"USC00325710","MC CLUSKY, ND US","1947","31",,
"USC00325710","MC CLUSKY, ND US","1948",,,
"USC00325710","MC CLUSKY, ND US","1949",,,
"USC00325710","MC CLUSKY, ND US","1950","29","23.24","35.4"
"USC00325710","MC CLUSKY, ND US","1951","32","18.48","36.5"
"USC00325710","MC CLUSKY, ND US","1952","29","13.49","41.4"
"USC00325710","MC CLUSKY, ND US","1953",,"18.25",
"USC00325710","MC CLUSKY, ND US","1954","27","22.83","41.3"
"USC00325710","MC CLUSKY, ND US","1955","28","20.47","39.4"
"USC00325710","MC CLUSKY, ND US","1956","30","19.78","39.6"
"USC00325710","MC CLUSKY, ND US","1957","28","16.99","40.5"
"USC00325710","MC CLUSKY, ND US","1958","27","11.83","41.2"
